Date,Total
07/12/2022,41503091113.64049
08/12/2022,41494351992.114975
09/12/2022,41643791302.816696
10/12/2022,41607102549.32699
11/12/2022,41849770689.060844
12/12/2022,41419386674.47608
13/12/2022,41383915504.4036
14/12/2022,41539612524.42662
15/12/2022,41448464325.793015
16/12/2022,40662668645.65708
17/12/2022,38833199703.94199
18/12/2022,39052257158.776855
19/12/2022,39166234566.22282
20/12/2022,35001407684.638
21/12/2022,35551210608.551315
22/12/2022,39164203187.052574
23/12/2022,39158357731.26298
24/12/2022,39130058821.78448
25/12/2022,39176350180.90271
26/12/2022,38800470077.58937
27/12/2022,38993681039.20359
28/12/2022,38788008177.5744
29/12/2022,38530422304.15248
30/12/2022,38529500328.72261
31/12/2022,38416958077.1929
01/01/2023,37960228393.462906
02/01/2023,38240092861.72902
03/01/2023,38444626141.81333
04/01/2023,38484722646.33826
05/01/2023,39128867061.31518
06/01/2023,39007498284.6527
07/01/2023,39085866686.42923
08/01/2023,39185736602.82581
09/01/2023,39919148125.17372
10/01/2023,40275700636.11714
11/01/2023,40472937910.76555
12/01/2023,41559024740.38152
13/01/2023,41835569017.86868
14/01/2023,43808445843.26184
15/01/2023,43789971424.13511
16/01/2023,44391596335.18576
17/01/2023,44429769461.96119
18/01/2023,44580898177.84287
19/01/2023,43601216972.82658
20/01/2023,44286694902.43753
21/01/2023,46220974006.09126
22/01/2023,46093794644.53057
23/01/2023,46277564410.87349
24/01/2023,46538479433.3049
25/01/2023,45805646211.82949
26/01/2023,46996373935.66691
27/01/2023,46702020525.05282
28/01/2023,47192320766.74819
29/01/2023,47036850608.87458
30/01/2023,48000899602.97668
31/01/2023,46493044878.08692
01/02/2023,46963846480.76882
02/02/2023,48682063073.948105
03/02/2023,48240843175.56819
04/02/2023,48425057673.36018
05/02/2023,48354708785.30955
06/02/2023,47940937847.8198
07/02/2023,47736812940.67858
08/02/2023,48921402036.32001
09/02/2023,48450764337.73646
10/02/2023,46335092738.84567
11/02/2023,46130527914.52377
12/02/2023,46636703386.805725
13/02/2023,46398988937.62529
14/02/2023,46047842679.32768
15/02/2023,46815398698.23851
16/02/2023,49562579758.76949
17/02/2023,48662052583.1666
18/02/2023,49919970881.71669
19/02/2023,50300454383.29929
20/02/2023,50005916124.76492
21/02/2023,50669944119.64112
22/02/2023,49633041869.2093
23/02/2023,49387147290.092255
24/02/2023,49347000355.0478
25/02/2023,48430958752.35512
26/02/2023,48166141535.58836
27/02/2023,49185335725.12402
28/02/2023,49192608005.09593
01/03/2023,48827505882.28246
02/03/2023,49765024425.557495
03/03/2023,49309536897.84789
04/03/2023,47726671534.00505
05/03/2023,47638615761.27935
06/03/2023,47780415121.58977
07/03/2023,47729538002.94407
08/03/2023,47525591029.73048
09/03/2023,46574369630.96536
10/03/2023,44314633438.99342
11/03/2023,43878064954.84818
12/03/2023,41784808917.75967
13/03/2023,45640579827.65801
14/03/2023,46588903167.701614
15/03/2023,46929363816.07295
16/03/2023,45758616396.23966
17/03/2023,45790081409.265305
18/03/2023,48184236695.21837
19/03/2023,47996689338.72983
20/03/2023,48302215195.56738
21/03/2023,48374310914.88397
22/03/2023,49187591232.12468
23/03/2023,48222097268.49297
24/03/2023,49289531740.20111
25/03/2023,48209512427.945015
26/03/2023,48095369244.770256
27/03/2023,48463776129.20199
28/03/2023,47587000214.43628
29/03/2023,48112807135.64919
30/03/2023,48764731978.21023
31/03/2023,48911259616.4904
01/04/2023,48808296789.24187
02/04/2023,49213063123.23178
03/04/2023,48826773093.3773
04/04/2023,48382039415.43241
05/04/2023,49623463865.49223
06/04/2023,49919728321.44348
07/04/2023,49546321174.66214
08/04/2023,49303614953.83482
09/04/2023,49405268865.41488
10/04/2023,49539699917.510216
11/04/2023,50325545430.81823
12/04/2023,50142610019.0187
13/04/2023,50202277547.610695
14/04/2023,52453392023.807175
15/04/2023,52489630115.56826
16/04/2023,52531341008.11189
17/04/2023,52169328611.76983
18/04/2023,51692364245.93799
19/04/2023,52405101279.16943
20/04/2023,50051339799.64452
21/04/2023,49510667987.36746
22/04/2023,47687792908.1468
23/04/2023,48013953966.12156
24/04/2023,47930723034.47029
25/04/2023,47488035940.07417
26/04/2023,48073440090.431046
27/04/2023,48758442226.43133
28/04/2023,48755270758.36864
29/04/2023,48327296177.40081
30/04/2023,48717823523.169945
01/05/2023,48245798904.49818
02/05/2023,47056980440.554726
03/05/2023,47545581775.61015
04/05/2023,48291882110.00035
05/05/2023,48336375984.061226
06/05/2023,49910028021.06952
07/05/2023,48610216492.063866
08/05/2023,48130920711.57428
09/05/2023,46892928983.90036
10/05/2023,47087812250.95795
11/05/2023,46711270415.99735
12/05/2023,44836756568.499565
13/05/2023,45937612586.510826
14/05/2023,45908147789.20992
15/05/2023,45858303681.58016
16/05/2023,46432713363.46839
17/05/2023,46482986071.6104
18/05/2023,46411663025.24999
19/05/2023,46123990327.57731
20/05/2023,46212980446.64469
21/05/2023,46747245362.879486
22/05/2023,46168291942.77998
23/05/2023,46489580550.98766
24/05/2023,47032891522.20634
25/05/2023,44535338396.86319
26/05/2023,45269238304.75245
27/05/2023,45313409654.21714
28/05/2023,45644120470.90084
29/05/2023,47446827015.72744
30/05/2023,47029598290.78851
31/05/2023,47271919637.73321
01/06/2023,45962914585.33625
02/06/2023,46101014784.07146
03/06/2023,46590523845.272125
04/06/2023,46258603127.91205
05/06/2023,46175410240.35002
06/06/2023,44443362251.53646
07/06/2023,45573042156.81694
08/06/2023,44726809719.837296
09/06/2023,44788330466.07399
10/06/2023,44201143478.68316
11/06/2023,38446727158.30924
12/06/2023,42579683197.8818
13/06/2023,42295526654.93527
14/06/2023,42504136117.81049
15/06/2023,41069354631.3687
16/06/2023,40891354313.41782
17/06/2023,41800848418.64286
18/06/2023,42009996666.990814
19/06/2023,42020969646.38875
20/06/2023,42289771840.6194
21/06/2023,43540750933.75868
22/06/2023,45095213627.25536
23/06/2023,44599674527.97783
24/06/2023,44854454255.33056
25/06/2023,44645272126.61403
26/06/2023,44981123648.71297
27/06/2023,44305144197.88845
28/06/2023,44724002171.558685
29/06/2023,43879431217.92598
30/06/2023,44349258215.33231
01/07/2023,45505769795.57019
02/07/2023,45428194982.77427
03/07/2023,45546712854.73712
04/07/2023,45794625314.05417
05/07/2023,45471654186.39523
06/07/2023,44945276232.16688
07/07/2023,43983955700.055695
08/07/2023,44416661459.48277
09/07/2023,44470648628.447685
10/07/2023,44380544779.78297
11/07/2023,44497760610.82243
12/07/2023,44620090283.3744
13/07/2023,44423476036.61536
14/07/2023,46176928383.37982
15/07/2023,45086256080.25078
16/07/2023,45244985628.39776
17/07/2023,44988998946.50102
18/07/2023,44746719763.52171
19/07/2023,44393662869.23351
20/07/2023,44120240564.46694
21/07/2023,44279228038.94746
22/07/2023,44200295751.984505
23/07/2023,43671518783.45335
24/07/2023,44006432759.87929
25/07/2023,43235788898.8456
26/07/2023,43073996405.619
27/07/2023,43293557451.86205
28/07/2023,43259583687.50562
29/07/2023,43560073407.20116
30/07/2023,43946449150.48621
31/07/2023,41744172038.27276
01/08/2023,41057687125.91118
02/08/2023,40552783231.94134
03/08/2023,39768638066.966415
04/08/2023,40196761127.2908
05/08/2023,40138300811.37608
06/08/2023,40258967237.011856
07/08/2023,40504783560.72
08/08/2023,41172051571.19132
09/08/2023,41690007328.75654
10/08/2023,41646109234.66002
